reclat,reclon,track_fid,track_seg_id,track_seg_point_id,ele,time,course,speed,magvar,geoidheight,name,cmt,desc,src,url,urlname,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid
-78.82635285,42.95076541,0,0,0,167,2020/10/30 13:24:12+00,,1.51,,,,,,,,,,,,14,,,,,
-78.82632868,42.95077258,0,0,1,167,2020/10/30 13:24:13+00,,1.48,,,,,,,,,,,,14,,,,,
-78.82630597,42.95078035,0,0,2,167,2020/10/30 13:24:14+00,,1.42,,,,,,,,,,,,14,,,,,
-78.82628655,42.95078855,0,0,3,168,2020/10/30 13:24:15+00,,1.2,,,,,,,,,,,,14,,,,,
-78.82627292,42.9507976,0,0,4,169,2020/10/30 13:24:16+00,,1.17,,,,,,,,,,,,14,,,,,
-78.82625703,42.95080599,0,0,5,168,2020/10/30 13:24:17+00,,1.42,,,,,,,,,,,,14,,,,,
-78.82623838,42.95081162,0,0,6,168,2020/10/30 13:24:18+00,,1.27,,,,,,,,,,,,14,,,,,
-78.82621908,42.95081694,0,0,7,168,2020/10/30 13:24:19+00,,1.4,,,,,,,,,,,,14,,,,,
-78.82620067,42.95082288,0,0,8,169,2020/10/30 13:24:20+00,,1.39,,,,,,,,,,,,14,,,,,
-78.82618505,42.95083191,0,0,9,170,2020/10/30 13:24:21+00,,1.5,,,,,,,,,,,,14,,,,,
-78.82617217,42.95084233,0,0,10,170,2020/10/30 13:24:22+00,,1.31,,,,,,,,,,,,14,,,,,
-78.82616267,42.95085355,0,0,11,170,2020/10/30 13:24:23+00,,1.3,,,,,,,,,,,,14,,,,,
-78.82615339,42.95086468,0,0,12,170,2020/10/30 13:24:24+00,,1.22,,,,,,,,,,,,14,,,,,
-78.82614596,42.95087672,0,0,13,172,2020/10/30 13:24:25+00,,1.31,,,,,,,,,,,,14,,,,,
-78.82613896,42.95088783,0,0,14,172,2020/10/30 13:24:26+00,,1.08,,,,,,,,,,,,14,,,,,
-78.8261303,42.9508987,0,0,15,172,2020/10/30 13:24:27+00,,1.25,,,,,,,,,,,,14,,,,,
-78.8261202,42.95091143,0,0,16,173,2020/10/30 13:24:28+00,,1.6,,,,,,,,,,,,14,,,,,
-78.82610873,42.95092225,0,0,17,174,2020/10/30 13:24:29+00,,1.21,,,,,,,,,,,,14,,,,,
-78.82609789,42.95092972,0,0,18,173,2020/10/30 13:24:30+00,,1.12,,,,,,,,,,,,14,,,,,
-78.82608577,42.95093663,0,0,19,173,2020/10/30 13:24:31+00,,1.16,,,,,,,,,,,,14,,,,,
-78.82607429,42.95094474,0,0,20,172,2020/10/30 13:24:32+00,,1.05,,,,,,,,,,,,14,,,,,
-78.82606397,42.95095441,0,0,21,172,2020/10/30 13:24:33+00,,1.19,,,,,,,,,,,,14,,,,,
-78.82605367,42.95096192,0,0,22,171,2020/10/30 13:24:34+00,,0.8,,,,,,,,,,,,14,,,,,
-78.82604114,42.95096879,0,0,23,171,2020/10/30 13:24:35+00,,1.22,,,,,,,,,,,,14,,,,,
-78.82602851,42.95098161,0,0,24,171,2020/10/30 13:24:36+00,,1.56,,,,,,,,,,,,14,,,,,
-78.82601823,42.95099274,0,0,25,172,2020/10/30 13:24:37+00,,0.96,,,,,,,,,,,,14,,,,,
-78.82600825,42.95100536,0,0,26,171,2020/10/30 13:24:38+00,,1.52,,,,,,,,,,,,14,,,,,
-78.82599604,42.95102029,0,0,27,171,2020/10/30 13:24:39+00,,1.76,,,,,,,,,,,,14,,,,,
-78.82598389,42.95103374,0,0,28,171,2020/10/30 13:24:40+00,,1.52,,,,,,,,,,,,13,,,,,
-78.82597489,42.95104598,0,0,29,171,2020/10/30 13:24:41+00,,1.22,,,,,,,,,,,,14,,,,,
-78.82596423,42.95105614,0,0,30,172,2020/10/30 13:24:42+00,,1.38,,,,,,,,,,,,14,,,,,
-78.82595638,42.95106263,0,0,31,173,2020/10/30 13:24:43+00,,0.52,,,,,,,,,,,,14,,,,,
-78.82594781,42.95106327,0,0,32,173,2020/10/30 13:24:44+00,,0.86,,,,,,,,,,,,14,,,,,
-78.82593622,42.95106256,0,0,33,174,2020/10/30 13:24:45+00,,0.66,,,,,,,,,,,,14,,,,,
-78.8259258,42.95106388,0,0,34,174,2020/10/30 13:24:46+00,,0.87,,,,,,,,,,,,14,,,,,
-78.8259144,42.95107055,0,0,35,175,2020/10/30 13:24:47+00,,1.2,,,,,,,,,,,,14,,,,,
-78.82590249,42.95108402,0,0,36,175,2020/10/30 13:24:48+00,,1.76,,,,,,,,,,,,14,,,,,
-78.82589139,42.95110155,0,0,37,174,2020/10/30 13:24:49+00,,1.76,,,,,,,,,,,,14,,,,,
-78.82588034,42.95111576,0,0,38,175,2020/10/30 13:24:50+00,,1.42,,,,,,,,,,,,14,,,,,
-78.82586836,42.95112864,0,0,39,174,2020/10/30 13:24:51+00,,1.46,,,,,,,,,,,,14,,,,,
-78.82585528,42.95114001,0,0,40,173,2020/10/30 13:24:52+00,,1.29,,,,,,,,,,,,14,,,,,
-78.8258436,42.95115019,0,0,41,173,2020/10/30 13:24:53+00,,1.3,,,,,,,,,,,,14,,,,,
-78.82583461,42.95115997,0,0,42,174,2020/10/30 13:24:54+00,,1.02,,,,,,,,,,,,14,,,,,
-78.82583008,42.95116596,0,0,43,175,2020/10/30 13:24:55+00,,0.51,,,,,,,,,,,,14,,,,,
-78.82582431,42.95117011,0,0,44,174,2020/10/30 13:24:56+00,,0.81,,,,,,,,,,,,14,,,,,
-78.82581219,42.95117782,0,0,45,174,2020/10/30 13:24:57+00,,1.38,,,,,,,,,,,,14,,,,,
-78.82579883,42.9511856,0,0,46,174,2020/10/30 13:24:58+00,,1.08,,,,,,,,,,,,14,,,,,
-78.82578693,42.95119385,0,0,47,174,2020/10/30 13:24:59+00,,1.24,,,,,,,,,,,,14,,,,,
-78.82577519,42.95120268,0,0,48,174,2020/10/30 13:25:00+00,,1.16,,,,,,,,,,,,14,,,,,
-78.82576516,42.95120921,0,0,49,174,2020/10/30 13:25:01+00,,0.99,,,,,,,,,,,,14,,,,,
-78.82575285,42.95121958,0,0,50,174,2020/10/30 13:25:02+00,,1.5,,,,,,,,,,,,14,,,,,
-78.82573973,42.95123041,0,0,51,173,2020/10/30 13:25:03+00,,1.27,,,,,,,,,,,,14,,,,,
-78.82572561,42.95124228,0,0,52,174,2020/10/30 13:25:04+00,,1.65,,,,,,,,,,,,14,,,,,
-78.82571028,42.95125427,0,0,53,174,2020/10/30 13:25:05+00,,1.51,,,,,,,,,,,,14,,,,,
-78.82569734,42.95126371,0,0,54,173,2020/10/30 13:25:06+00,,1.15,,,,,,,,,,,,13,,,,,
-78.82568547,42.95127114,0,0,55,172,2020/10/30 13:25:07+00,,1.14,,,,,,,,,,,,13,,,,,
-78.82567022,42.95128196,0,0,56,171,2020/10/30 13:25:08+00,,1.79,,,,,,,,,,,,13,,,,,
-78.82565236,42.95129439,0,0,57,171,2020/10/30 13:25:09+00,,1.72,,,,,,,,,,,,14,,,,,
