reclat,reclon,
 -78.82186,42.94928,
 -78.82186,42.94928,
 -78.82187,42.94928,
 -78.82188,42.94929,
 -78.82189,42.94929,
 -78.82190,42.94930,
 -78.82190,42.94930,
 -78.82193,42.94932,
 -78.82195,42.94933,
 -78.82195,42.94933,
 -78.82196,42.94932,
 -78.82195,42.94931,
 -78.82194,42.94931,
 -78.82193,42.94930,
 -78.82193,42.94930,
 -78.82192,42.94930,
 -78.82191,42.94930,
 -78.82192,42.94931,
 -78.82192,42.94931,
 -78.82193,42.94932,
 -78.82194,42.94932,
 -78.82194,42.94933,
 -78.82195,42.94933,
 -78.82196,42.94934,
 -78.82197,42.94934,
 -78.82199,42.94935,
 -78.82199,42.94935,
 -78.82200,42.94936,
 -78.82200,42.94936,
 -78.82202,42.94936,
 -78.82202,42.94937,
 -78.82203,42.94937,
 -78.82204,42.94938,
 -78.82204,42.94938,
 -78.82205,42.94938,
 -78.82206,42.94939,
 -78.82206,42.94939,
 -78.82207,42.94939,
 -78.82208,42.94940,
 -78.82208,42.94940,
 -78.82209,42.94941,
 -78.82210,42.94941,
 -78.82210,42.94941,
 -78.82211,42.94942,
 -78.82212,42.94942,
 -78.82212,42.94942,
 -78.82213,42.94943,
 -78.82214,42.94943,
 -78.82215,42.94944,
 -78.82216,42.94944,
 -78.82217,42.94945,
 -78.82218,42.94945,
 -78.82219,42.94946,
 -78.82220,42.94947,
 -78.82221,42.94947,
 -78.82222,42.94948,
 -78.82223,42.94948,
 -78.82225,42.94948,
 -78.82226,42.94949,
 -78.82226,42.94949,
 -78.82227,42.94950,
 -78.82224,42.94950,
 -78.82223,42.94950,
 -78.82222,42.94950,
 -78.82221,42.94948,
 -78.82222,42.94948,
 -78.82223,42.94948,
 -78.82224,42.94948,
 -78.82225,42.94949,
 -78.82225,42.94949,
 -78.82226,42.94950,
 -78.82225,42.94951,
 -78.82226,42.94951,
 -78.82227,42.94951,
 -78.82227,42.94951,
 -78.82228,42.94952,
 -78.82229,42.94952,
 -78.82229,42.94953,
 -78.82231,42.94955,
 -78.82234,42.94954,
 -78.82233,42.94954,
 -78.82233,42.94953,
 -78.82232,42.94953,
 -78.82231,42.94953,
 -78.82230,42.94953,
 -78.82230,42.94953,
 -78.82230,42.94954,
 -78.82231,42.94954,
 -78.82232,42.94955,
 -78.82233,42.94955,
 -78.82234,42.94955,
 -78.82236,42.94956,
 -78.82236,42.94957,
 -78.82238,42.94958,
 -78.82239,42.94958,
 -78.82239,42.94959,
 -78.82240,42.94960,
 -78.82240,42.94961,
 -78.82243,42.94960,
 -78.82243,42.94959,
 -78.82242,42.94959,
 -78.82241,42.94958,
 -78.82241,42.94958,
 -78.82240,42.94958,
 -78.82240,42.94958,
 -78.82240,42.94959,
 -78.82240,42.94959,
 -78.82240,42.94959,
 -78.82241,42.94960,
 -78.82242,42.94960,
 -78.82243,42.94961,
 -78.82244,42.94961,
 -78.82244,42.94962,
 -78.82245,42.94962,
 -78.82246,42.94962,
 -78.82247,42.94962,
 -78.82248,42.94963,
 -78.82250,42.94963,
 -78.82251,42.94965,
 -78.82252,42.94966,
 -78.82253,42.94967,
 -78.82256,42.94969,
 -78.82257,42.94969,
 -78.82257,42.94968,
 -78.82256,42.94967,
 -78.82255,42.94967,
 -78.82254,42.94966,
 -78.82253,42.94966,
 -78.82253,42.94967,
 -78.82253,42.94968,
 -78.82254,42.94968,
 -78.82255,42.94968,
 -78.82255,42.94969,
 -78.82256,42.94969,
 -78.82257,42.94970,
 -78.82258,42.94970,
 -78.82259,42.94970,
 -78.82259,42.94970,
 -78.82260,42.94971,
 -78.82261,42.94971,
 -78.82261,42.94972,
 -78.82262,42.94972,
 -78.82263,42.94973,
 -78.82263,42.94973,
 -78.82264,42.94974,
 -78.82265,42.94974,
 -78.82266,42.94975,
 -78.82268,42.94976,
 -78.82269,42.94977,
 -78.82270,42.94977,
 -78.82271,42.94978,
 -78.82272,42.94978,
 -78.82273,42.94978,
 -78.82274,42.94977,
 -78.82273,42.94976,
 -78.82272,42.94976,
 -78.82271,42.94975,
 -78.82270,42.94975,
 -78.82269,42.94975,
 -78.82268,42.94975,
