reclat,reclon,
-78.82489,42.95102,
-78.82459,42.95084,
-78.82438,42.95071,
-78.82115,42.95030,
-78.82108,42.95032,
-78.82104,42.95028,
-78.82098,42.95026,
-78.82088,42.95018,
-78.82124,42.94987,
-78.82116,42.94995,
-78.82108,42.94999,
-78.82115,42.95002,
-78.82135,42.94996,
-78.82142,42.95008,
-78.82135,42.95015,
-78.82129,42.95022,
-78.82122,42.95016,
-78.82127,42.95008,
-78.82104,42.95012,
-78.82118,42.95026,
-78.82114,42.95037,
-78.82334,42.95269,
-78.82256,42.95211,
-78.82233,42.95220,
-78.82243,42.95226,
-78.82240,42.95223,
